Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Summary
H.R. 6671,https://www.congress.gov/bill/112th-congress/house-bill/6671,112th Congress (2011-2012),Video Privacy Protection Act Amendments Act of 2012,"Goodlatte, Bob [Rep.-R-VA-6]",Republican,12/17/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Video Privacy Protection Act Amendments Act of 2012 - Amends provisions of the federal criminal code authorizing a video tape service provider to disclose personally identifiable information concerning any consumer to any person with the informed, written consent of the consumer to: (1) allow such consent to be provided through an electronic means using the Internet; (2) require such consent to be in a form distinct and separate from any form setting forth other legal or financial obligations of the consumer; (3) allow such consent to be given in advance for a set period of time, not to exceed two years or until consent is withdrawn by the consumer, whichever is sooner; and (4) require the video tape service provider to provide an opportunity for the consumer to withdraw such consent on a case-by-case basis or to withdraw from ongoing disclosures, at the consumer's election.</p>"
H.R. 6655,https://www.congress.gov/bill/112th-congress/house-bill/6655,112th Congress (2011-2012),Protect our Kids Act of 2012,"Doggett, Lloyd [Rep.-D-TX-25]",Democratic,12/13/2012,"<p><b>(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.)</b></p> <p>Protect Our Kids Act of 2012 - Establishes the Commission to Eliminate Child Abuse and Neglect Fatalities to: (1) study the use of child protective services and child welfare services under titles IV and XX (Block Grants to States for Social Services) of the Social Security Act (SSA) to reduce fatalities from child abuse and neglect; (2) develop recommendations to reduce such fatalities for federal, state, and local agencies, and private sector and nonprofit organizations, including recommendations to implement a comprehensive national strategy for such purpose; and (3) develop guidelines for the type of information that should be tracked to improve interventions to prevent such fatalities. </p> <p>Requires any federal agency affected by a recommendation to report to Congress its response and plans to address it.</p> <p>Amends SSA title IV part A (Temporary Assistance for Needy Families) (TANF) to make an adjustment to the Contingency Fund for State Welfare Programs with respect to deposits for FY2013-FY2014, reserving a specified amount for Commission activities.</p>"
H.R. 6634,https://www.congress.gov/bill/112th-congress/house-bill/6634,112th Congress (2011-2012),To change the effective date for the Internet publication of certain financial disclosure forms.,"Cantor, Eric [Rep.-R-VA-7]",Republican,12/05/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Postpones until April 15, 2013, the effective date of the requirement under the Stop Trading on Congressional Knowledge Act of 2012 (STOCK Act) that the Secretary of the Senate, the Sergeant at Arms of the Senate, and the Clerk of the House of Representatives ensure that financial disclosure forms filed by congressional officers and employees be made available to the public on the respective official Senate and House websites within 30 days after filing.</p> <p>Postpones until the same date the effective date of the requirement that the President ensure that financial disclosure forms filed by executive branch employees are publicly available on appropriate official websites of executive branch agencies within such period.</p> <p>Excludes from these effective date postponements the President, Vice President, Members of Congress, congressional candidates, and any officer occupying a position listed under Level I and Level II of the Executive Schedule having been nominated by the President and confirmed by the Senate. (Thus maintains September 30, 2012, as the effective date of the requirement that such individuals make their financial disclosure forms available to the public.)</p>"
H.R. 6621,https://www.congress.gov/bill/112th-congress/house-bill/6621,112th Congress (2011-2012),"To correct and improve certain provisions of the Leahy-Smith America Invents Act and title 35, United States Code.","Smith, Lamar [Rep.-R-TX-21]",Republican,11/30/2012,"<p><b>(This measure has not been amended since it was passed by the Senate on December 28, 2012. The summary of that version is repeated here.)</b> </p> <p>Amends the Leahy-Smith America Invents Act (AIA) to make technical changes regarding the transitional program for covered business method patents and joinder of parties.</p> <p>Applies, to any civil action commenced on or after enactment of this Act, the AIA's bar on using an accused infringer's failure to obtain the advice of counsel to prove that any infringement was willful or induced. (Currently, the bar would not take effect until one year after the AIA's enactment.)</p> <p>Prohibits a nine-month waiting period for inter partes review from applying to issuances of first-to-invent patents ineligible for post-grant review. (Currently, the remaining first-to-invent patents to be issued prior to the effective date of the new first-to-file patent system have no avenue for review during the first nine months because they must wait nine months for inter parties review and are ineligible for post-grant review.)</p> <p>Revises the filing deadline for inter partes review to be after the later of either: (1) nine months after the grant of a patent (currently, nine months after such grant or the issuance of a reissue patent), or (2) the termination date of any post-grant review. </p> <p>Extends the time period for an applicant to file an inventor's oath or declaration, substitute statement, or recorded assignment until the date on which the issue fee for the patent is paid. (Current law permits a notice of allowance of a patent application only after such a filing.) </p> <p>Makes provisions concerning travel expenses for employees of the U.S. Patent and Trademark Office (USPTO) and the payment of administrative judges effective as of September 16, 2011.</p> <p>Modifies requirements and time periods for activities relating to patent term adjustments. Revises the patent extension period for certain international applications. Specifies that a civil action filed in the U.S. District Court for the Eastern District of Virginia is the exclusive remedy for challenging a USPTO decision on a request for reconsideration of a patent term adjustment determination.</p> <p>Repeals a provision prohibiting the USPTO from accepting certain international applications designating the United States from anyone not qualified under specified application requirements.</p> <p>Revises USPTO funding requirements to make all federal patent law fees available for expenses relating to patent processing and to permit patent and trademark fees to be used interchangeably to cover proportionate shares of the USPTO's administrative costs. (Currently, patent fees are used to cover administrative costs relating to patents while trademark fees are used to cover administrative costs relating to trademarks.)</p> <p>Modifies requirements for applicants filing petitions to institute derivation proceedings and delineates the criteria applied to deem an application as an earlier application with respect to an invention relative to another application. </p> <p>Sets forth authority for the Patent Trial and Appeal Board to conduct, and for courts to review appeals from, interference proceedings declared after enactment but before the effective date of certain AIA amendments replacing interference proceedings with derivation proceedings.</p> <p>Modifies the original appointment terms for members of the Patent Public Advisory Committee and the Trademark Public Advisory Committee. Directs the Secretary of Commerce to designate, from among the appointed members, a Chair and Vice Chair of each committee.</p>"
H.R. 6620,https://www.congress.gov/bill/112th-congress/house-bill/6620,112th Congress (2011-2012),Former Presidents Protection Act of 2012,"Gowdy, Trey [Rep.-R-SC-4]",Republican,11/30/2012,"<p><b>(This measure has not been amended since it was introduced. The summary <strong>of that version is repeated here</strong>.)</b></p> <p>Former Presidents Protection Act of 2012 - Amends the federal criminal code to eliminate certain limitations on the length of Secret Service protection for former Presidents and their spouses and children. Authorizes the Secret Service to protect: (1) former Presidents and their spouses for their lifetimes, except that protection of a spouse shall terminate in the event of remarriage; and (2) children of a former President who are under age 16.<BR> </p>"
H.R. 6587,https://www.congress.gov/bill/112th-congress/house-bill/6587,112th Congress (2011-2012),"To designate the facility of the United States Postal Service located at 225 Simi Village Drive in Simi Valley, California, as the ""Postal Inspector Terry Asbury Post Office Building"".","Gallegly, Elton [Rep.-R-CA-24]",Republican,11/13/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Designates the facility of the United States Postal Service located at 225 Simi Village Drive in Simi Valley, California, as the ""Postal Inspector Terry Asbury Post Office Building.""</p>"
H.R. 6586,https://www.congress.gov/bill/112th-congress/house-bill/6586,112th Congress (2011-2012),Space Exploration Sustainability Act,"Palazzo, Steven M. [Rep.-R-MS-4]",Republican,11/09/2012,"<p><b>(This measure has not been amended since it was passed by the Senate on January 1, 2013. The summary of that version is repeated here.)</b></p> <p>Space Exploration Sustainability Act - Amends the National Aeronautics and Space Administration Authorization Act of 2010 to express the sense of Congress that the Administrator of the National Aeronautics and Space Administration (NASA) shall proceed with the use of the International Space Station (ISS), technology development, and follow-on transportation systems (including the space launch system and the multipurpose crew vehicle) in a manner ensuring: (1) that these capabilities remain inherently complementary and interrelated; (2) a balance of the development, sustainment, and use of each of these capabilities, which are of critical importance to the viability and sustainability of the U.S. space program; and (3) that resources required to support the timely and sustainable development of these capabilities authorized in either title III or title IV of such Act are not derived from a reduction in resources for the capabilities authorized in the other title. </p><p>Extends, through December 31, 2013, the authority of the Secretary of Transportation (DOT) to pay compensation for claims in excess of a commercial space launcher's required insurance coverage. </p> <p>Amends the Iran, North Korea, and Syria Nonproliferation Act to remove the purchase of goods or services relating to human space flight not required to be made under a contract or other agreement in effect on January 1, 1999, from the definition of &quot;extraordinary payments in connection with the International Space Station&quot; which federal agencies are prohibited from making to the Russian Aviation and Space Agency (RASA) and organizations or entities under its jurisdiction unless the President makes specified determinations regarding Russian cooperation in preventing weapons proliferation relating to Iran, North Korea, and Syria. (Thus waives the presidential determination requirement for federal agency payments to RASA for the purchase of any goods or services relating to human space flight.)</p> <p>Extends from July 1, 2016, to December 31, 2020, the current exception to the presidential determination requirement for payments for work to be performed or services to be rendered for work on the ISS before such date necessary to meet U.S. obligations under the Agreement Concerning Cooperation on the Civil International Space Station.</p>"
H.R. 6582,https://www.congress.gov/bill/112th-congress/house-bill/6582,112th Congress (2011-2012),American Energy Manufacturing Technical Corrections Act,"Aderholt, Robert B. [Rep.-R-AL-4]",Republican,11/02/2012,"<p>American Energy Manufacturing Technical Corrections Act - (Sec. 2) Amends the Energy Policy and Conservation Act (EPCA) to exempt a walk-in cooler or walk-in freezer component manufactured on or after January 1, 2009, from the requirement that it contain wall, ceiling, and door insulation of at least R-25 for coolers and R-32 for freezers, if the manufacturer has demonstrated to the Secretary of Energy (DOE) that such component reduces energy consumption at least as much as if such requirement were to apply.</p> <p>(Sec. 3) Amends EPCA to require the Secretary of Energy (DOE) to publish a rule that establishes a uniform efficiency descriptor and accompanying test methods for covered water heaters (water heaters, storage water heaters, instantaneous water heaters, and unfired hot water storage tanks). Declares that the purpose of such rule is to replace with a uniform efficiency descriptor: (1) the energy factor descriptor for water heaters established under such Act; and (2) the thermal efficiency and standby loss descriptors for storage water heaters, instantaneous water heaters, and unfired water storage tanks established under such rule. Requires the efficiency standard for covered water heaters to be denominated according to the efficiency descriptor established by such rule. Requires the Secretary to develop a mathematical conversion factor for converting the measurement of efficiency for such heaters from the test procedures in effect on this Act's enactment to the new energy descriptor established under this Act. Considers a covered water heater to be in compliance with such rule and with any revised labeling requirements established by the Federal Trade Commission (FTC) to implement such rule if the covered water heater: (1) was manufactured prior to the effective date of the rule, and (2) complied with the efficiency standards and labeling requirements in effect prior to the rule.</p> <p>(Sec. 4) Establishes energy efficiency standards for daily energy consumption of service over the counter, self-contained, medium temperature commercial refrigerators. Requires the Secretary to determine whether the standard for such refrigerators should be amended and revise such standard if necessary</p> <p>(Sec. 5) Establishes energy efficiency standards for through-the-wall central air conditioners, through-the-wall central air conditioning heat pumps, and small duct, high velocity systems.</p> <p>Requires the Secretary to: (1) provide notice on whether energy efficiency standards for specified commercial heating and cooling equipment will be amended every six years, (2) evaluate each class of such equipment, (3) provide notice of a decision to grant or deny a petition to amend energy conservation standards, and (4) publish a rule that contains new or amended energy conservation standards every three years.</p> <p>(Sec. 6) Requires the Secretary, as part of the research and development activities of DOE's Industrial Technologies Program, to establish collaborative research and development partnerships with other programs within the Office of Energy Efficiency and Renewable Energy and the Office of Science that: (1) leverage the research and development expertise of such programs to promote early stage energy efficiency technology development; (2) support the use of innovative manufacturing processes and applied research for development, demonstration, and commercialization of new technologies and processes to improve efficiency (including improvements in efficient use of water), reduce emissions, reduce industrial waste, and improve industrial cost-competitiveness; and (3) apply the knowledge and expertise of such Program to achieve the goals of such other programs. Requires the Secretary to report on such partnerships biennially.</p> <p>(Sec. 7) Requires the Secretary to conduct a study and report on: (1) legal, regulatory, and economic barriers to the deployment of industrial energy efficiency in all electricity markets; (2) examples of state and federal policies and private initiatives that resulted in greater use of industrial energy efficiency and cost-effective policies used by foreign countries to foster industrial energy efficiency; (3) estimated economic benefits to the national economy of providing the industrial sector with federal energy efficiency matching grants of $5 billion for 5- and 10-year periods; and (4) estimated energy savings available from increased use of recycled material in energy-intensive manufacturing process.</p> <p>Requires the Secretary, in coordination with the industrial sector and other stakeholders, to develop policy recommendations regarding the deployment of industrial energy efficiency, including proposed regulatory guidance to states and relevant federal agencies to address such barriers. </p> <p>(Sec. 8) Amends the National Energy Conservation Policy Act (NECPA) to require the Secretary to develop and report on best practices for the use of advanced metering of energy use in federal facilities, buildings, and equipment. <p>(Sec. 9) Directs energy managers of federal facilities covered under NECPA to use a web-based tracking system to publish energy and water consumption data on an individual facility basis. <p>(Sec. 10) Requires the Secretary, in determining whether an energy efficiency standard for such equipment is economically justified, to determine whether the benefits exceed the burden of the proposed standard considering specified factors, including: (1) the economic impact on the manufacturers and consumers of the product; (2) the savings in operating costs throughout the estimated average life of the product compared to any increase in the price of, or in the initial charges for, or maintenance expenses of, the product; (3) the total projected quantity of energy savings; (4) any lessening of the utility or the performance of the product; (5) the impact of any lessening of competition; and (6) the need for national energy conservation. Prohibits the Secretary from prescribing any amended standard for such a product: (1) that increases the maximum allowable energy use, or decreases the minimum required energy efficiency, of the product; or (2) if the Secretary finds that interested persons have established that a standard is likely to result in the unavailability in the United States in any product type of performance characteristics that are substantially the same as those generally currently available."
H.R. 6570,https://www.congress.gov/bill/112th-congress/house-bill/6570,112th Congress (2011-2012),To amend the American Recovery and Reinvestment Act of 2009 and the Emergency Economic Stabilization Act of 2008 to consolidate certain CBO reporting requirements.,"Garrett, Scott [Rep.-R-NJ-5]",Republican,10/12/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends the Jobs Accountability Act, in title XV of division A of the American Recovery and Reinvestment Act of 2009, to revise the deadline for comments by the Congressional Budget Office (CBO) and the Government Accountability Office (GAO) on information contained in specified quarterly reports to the appropriate agency by each recipient of federal recovery funds with respect to an estimate of the number of jobs created and retained by the expenditure or obligation of such funds on a project or activity.</p> <p>Requires these comments on the quarterly reports in a year to be due 45 days after the report for the last quarter of the year is submitted. (Currently, such reports are due within 45 days after submission to the appropriate agency.)</p> <p>Terminates the requirement of the CBO and GAO comments on January 1, 2016.</p> <p>Amends the Emergency Economic Stabilization Act of 2008 to change from semiannual to annual the required reports to the President and Congress from the Office of Management and Budget (OMB) of specified information and estimates regarding the Troubled Asset Relief Program (TARP).</p> <p>Terminates these TARP reporting requirements with the annual period on the last day of which all troubled assets acquired by the Secretary of the Treasury have been sold or transferred out of the ownership or control of the federal government. </p>"
H.R. 6433,https://www.congress.gov/bill/112th-congress/house-bill/6433,112th Congress (2011-2012),FDA User Fee Corrections Act of 2012,"Upton, Fred [Rep.-R-MI-6]",Republican,09/19/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>FDA User Fee Corrections Act of 2012 - Amends the Federal Food, Drug, and Cosmetic Act (FFDCA), as amended by the Food and Drug Administration Safety and Innovation Act (P.L. 112-144), to: (1) make clerical corrections to provisions of such Act; and (2) eliminate the restriction that appropriated funds shall be available only for payment of increases in the cost of reviewing medical device applications, including related personnel costs.</p> <p>Specifies due dates in FY2013 under FFDCA for the drug master file fee, the abbreviated new drug application and prior approval supplement filing fees, and the generic drug facility and active pharmaceutical ingredient facility fees. </p>"
